company,year,month,monthly_pct_change
AMZN,2016,9,-5.81
AMZN,2016,10,4.50
AMZN,2016,11,-7.41
AMZN,2016,12,0.00
AMZN,2017,1,0.75
AMZN,2017,2,-1.68
AMZN,2017,3,23.73
AMZN,2017,4,-12.64
AMZN,2017,5,23.27
AMZN,2017,6,2.99
AMZN,2017,7,-7.44
AMZN,2017,8,10.78
AMZN,2017,9,-13.26
AMZN,2017,10,13.60
AMZN,2017,11,8.72
AMZN,2017,12,-2.33
AMZN,2018,1,17.59
AMZN,2018,2,-0.31
AMZN,2018,3,18.03
AMZN,2018,4,-4.68
AMZN,2018,5,13.80
AMZN,2018,6,1.68
AMZN,2018,7,5.05
AMZN,2018,8,16.47
AMZN,2018,9,-14.42
AMZN,2018,10,9.72
AMZN,2018,11,-16.72
AMZN,2018,12,-13.20
AMZN,2019,1,16.24
AMZN,2019,2,-10.25
AMZN,2019,3,17.02
AMZN,2019,4,8.34
AMZN,2019,5,4.94
AMZN,2019,6,-9.91
AMZN,2019,7,16.73
AMZN,2019,8,-8.76
AMZN,2019,9,-8.81
AMZN,2019,10,12.01
AMZN,2019,11,-11.95
AMZN,2019,12,5.68
AMZN,2020,1,5.51
AMZN,2020,2,-0.79
AMZN,2020,3,4.93
AMZN,2020,4,13.62
AMZN,2020,5,2.31
AMZN,2020,6,20.08
AMZN,2020,7,16.85
AMZN,2020,8,1.56
AMZN,2020,9,-2.72
AMZN,2020,10,7.08
AMZN,2020,11,-11.59
AMZN,2020,12,11.96
AMZN,2021,1,-13.57
AMZN,2021,2,2.00
AMZN,2021,3,13.80
AMZN,2021,4,-0.25
AMZN,2021,5,-7.77
AMZN,2021,6,14.12
AMZN,2021,7,2.49
AMZN,2021,8,-4.02
AMZN,2021,9,-1.25
AMZN,2021,10,-2.71
AMZN,2021,11,5.50
AMZN,2021,12,1.77
AMZN,2022,1,-17.28
AMZN,2022,2,-6.04
AMZN,2022,3,21.44
AMZN,2022,4,-14.72
AMZN,2022,5,-21.95
AMZN,2022,6,0.35
AMZN,2022,7,-1.24
AMZN,2022,8,35.05
AMZN,2022,9,-18.15
AMZN,2022,10,-7.10
AMZN,2022,11,-17.92
AMZN,2022,12,-6.40
AMZN,2023,1,2.05
AMZN,2023,2,0.03
AMZN,2023,3,17.80
AMZN,2023,4,-11.58
AMZN,2023,5,25.42
AMZN,2023,6,7.77
AMZN,2023,7,-50.72
CSCO,2013,7,NULL
CSCO,2013,8,114.29
CSCO,2013,9,-12.26
CSCO,2013,10,9.11
CSCO,2013,11,-15.49
CSCO,2013,12,0.52
CSCO,2014,1,4.73
CSCO,2014,2,-9.64
CSCO,2014,3,8.43
CSCO,2014,4,5.65
CSCO,2014,5,3.04
CSCO,2014,6,4.09
CSCO,2014,7,8.35
CSCO,2014,8,-7.15
CSCO,2014,9,0.60
CSCO,2014,10,4.66
CSCO,2014,11,-9.90
CSCO,2014,12,22.59
CSCO,2015,1,-9.20
CSCO,2015,2,-1.80
CSCO,2015,3,15.30
CSCO,2015,4,-5.15
CSCO,2015,5,-1.15
CSCO,2015,6,7.53
CSCO,2015,7,-2.73
CSCO,2015,8,-6.05
CSCO,2015,9,-5.97
CSCO,2015,10,14.21
CSCO,2015,11,-10.49
CSCO,2015,12,7.68
CSCO,2016,1,-22.30
CSCO,2016,2,7.48
CSCO,2016,3,22.55
CSCO,2016,4,-3.27
CSCO,2016,5,-2.46
CSCO,2016,6,9.96
CSCO,2016,7,-5.49
CSCO,2016,8,19.25
CSCO,2016,9,-7.54
CSCO,2016,10,-2.09
CSCO,2016,11,-0.57
CSCO,2016,12,-1.05
CSCO,2017,1,-4.36
CSCO,2017,2,2.09
CSCO,2017,3,26.62
CSCO,2017,4,-19.87
CSCO,2017,5,15.51
CSCO,2017,6,-3.87
CSCO,2017,7,-9.90
CSCO,2017,8,15.24
CSCO,2017,9,-10.01
CSCO,2017,10,14.23
CSCO,2017,11,-0.11
CSCO,2017,12,2.38
CSCO,2018,1,12.70
CSCO,2018,2,-6.57
CSCO,2018,3,15.54
CSCO,2018,4,-2.37
CSCO,2018,5,8.06
CSCO,2018,6,-6.49
CSCO,2018,7,-2.22
CSCO,2018,8,15.73
CSCO,2018,9,-12.47
CSCO,2018,10,17.12
CSCO,2018,11,-8.59
CSCO,2018,12,-11.99
CSCO,2019,1,9.24
CSCO,2019,2,-0.39
CSCO,2019,3,18.90
CSCO,2019,4,6.46
CSCO,2019,5,1.34
CSCO,2019,6,-6.49
CSCO,2019,7,12.37
CSCO,2019,8,-12.60
CSCO,2019,9,-10.23
CSCO,2019,10,10.06
CSCO,2019,11,-13.97
CSCO,2019,12,3.82
CSCO,2020,1,4.29
CSCO,2020,2,-12.92
CSCO,2020,3,-4.46
CSCO,2020,4,4.14
CSCO,2020,5,0.32
CSCO,2020,6,16.15
CSCO,2020,7,0.63
CSCO,2020,8,-9.12
CSCO,2020,9,-9.83
CSCO,2020,10,1.50
CSCO,2020,11,-5.87
CSCO,2020,12,22.31
CSCO,2021,1,-12.60
CSCO,2021,2,3.27
CSCO,2021,3,27.19
CSCO,2021,4,-3.23
CSCO,2021,5,-3.38
CSCO,2021,6,11.84
CSCO,2021,7,-3.48
CSCO,2021,8,10.63
CSCO,2021,9,-4.27
CSCO,2021,10,-3.44
CSCO,2021,11,1.71
CSCO,2021,12,11.57
CSCO,2022,1,-10.10
CSCO,2022,2,-11.33
CSCO,2022,3,21.52
CSCO,2022,4,-17.69
CSCO,2022,5,-5.23
CSCO,2022,6,-7.15
CSCO,2022,7,-5.62
CSCO,2022,8,22.05
CSCO,2022,9,-15.04
CSCO,2022,10,-2.23
CSCO,2022,11,9.70
CSCO,2022,12,4.64
CSCO,2023,1,-5.32
CSCO,2023,2,-3.95
CSCO,2023,3,24.11
CSCO,2023,4,-18.10
CSCO,2023,5,11.77
CSCO,2023,6,1.51
CSCO,2023,7,-51.84
META,2013,7,NULL
META,2013,8,175.89
META,2013,9,7.36
META,2013,10,26.94
META,2013,11,-18.44
META,2013,12,16.51
META,2014,1,8.29
META,2014,2,5.48
META,2014,3,11.73
META,2014,4,-11.16
META,2014,5,0.81
META,2014,6,7.92
META,2014,7,11.52
META,2014,8,2.28
META,2014,9,4.47
META,2014,10,8.48
META,2014,11,-19.16
META,2014,12,20.10
META,2015,1,-10.22
META,2015,2,-4.72
META,2015,3,21.90
META,2015,4,-3.28
META,2015,5,-7.86
META,2015,6,15.35
META,2015,7,10.53
META,2015,8,-4.83
META,2015,9,-0.36
META,2015,10,11.27
META,2015,11,-0.82
META,2015,12,9.38
META,2016,1,-18.88
META,2016,2,12.64
META,2016,3,15.05
META,2016,4,-3.55
META,2016,5,5.83
META,2016,6,1.94
META,2016,7,-6.02
META,2016,8,20.12
META,2016,9,-5.73
META,2016,10,0.93
META,2016,11,-6.96
META,2016,12,-2.19
META,2017,1,2.32
META,2017,2,0.25
META,2017,3,26.10
META,2017,4,-15.28
META,2017,5,21.68
META,2017,6,1.23
META,2017,7,-4.04
META,2017,8,21.18
META,2017,9,-12.31
META,2017,10,11.75
META,2017,11,-1.03
META,2017,12,-5.97
META,2018,1,9.47
META,2018,2,-11.82
META,2018,3,6.37
META,2018,4,-5.58
META,2018,5,16.99
META,2018,6,1.89
META,2018,7,2.41
META,2018,8,-2.79
META,2018,9,-23.50
META,2018,10,13.55
META,2018,11,-16.13
META,2018,12,-12.38
META,2019,1,17.18
META,2019,2,2.54
META,2019,3,12.27
META,2019,4,7.84
META,2019,5,7.98
META,2019,6,-11.44
META,2019,7,21.12
META,2019,8,-7.56
META,2019,9,-8.48
META,2019,10,14.16
META,2019,11,-7.70
META,2019,12,8.34
META,2020,1,7.27
META,2020,2,-13.34
META,2020,3,-7.51
META,2020,4,1.94
META,2020,5,16.52
META,2020,6,17.87
META,2020,7,3.09
META,2020,8,7.26
META,2020,9,-0.83
META,2020,10,6.03
META,2020,11,-6.89
META,2020,12,10.09
META,2021,1,-17.36
META,2021,2,0.65
META,2021,3,25.22
META,2021,4,1.99
META,2021,5,-1.80
META,2021,6,16.62
META,2021,7,0.26
META,2021,8,7.62
META,2021,9,-4.30
META,2021,10,-9.70
META,2021,11,2.39
META,2021,12,2.99
META,2022,1,-12.23
META,2022,2,-32.06
META,2022,3,9.83
META,2022,4,-12.63
META,2022,5,-0.29
META,2022,6,-12.26
META,2022,7,-8.13
META,2022,8,15.82
META,2022,9,-18.77
META,2022,10,-14.70
META,2022,11,-16.82
META,2022,12,10.87
META,2023,1,10.81
META,2023,2,22.15
META,2023,3,33.03
META,2023,4,-7.48
META,2023,5,29.74
META,2023,6,8.67
META,2023,7,-48.48
MSFT,2013,7,NULL
MSFT,2013,8,122.73
MSFT,2013,9,-8.98
MSFT,2013,10,21.57
MSFT,2013,11,-5.51
MSFT,2013,12,5.26
MSFT,2014,1,-2.95
MSFT,2014,2,-7.30
MSFT,2014,3,15.70
MSFT,2014,4,2.95
MSFT,2014,5,-0.53
MSFT,2014,6,3.61
MSFT,2014,7,9.45
MSFT,2014,8,-2.24
MSFT,2014,9,4.86
MSFT,2014,10,6.65
MSFT,2014,11,-11.53
MSFT,2014,12,13.61
MSFT,2015,1,-12.88
MSFT,2015,2,-10.08
MSFT,2015,3,13.25
MSFT,2015,4,-1.52
MSFT,2015,5,4.14
MSFT,2015,6,6.38
MSFT,2015,7,-0.77
MSFT,2015,8,-4.77
MSFT,2015,9,-4.27
MSFT,2015,10,17.12
MSFT,2015,11,0.59
MSFT,2015,12,13.08
MSFT,2016,1,-18.30
MSFT,2016,2,3.21
MSFT,2016,3,14.29
MSFT,2016,4,-3.35
MSFT,2016,5,-5.71
MSFT,2016,6,4.66
MSFT,2016,7,-3.41
MSFT,2016,8,22.68
MSFT,2016,9,-9.37
MSFT,2016,10,1.93
MSFT,2016,11,2.62
MSFT,2016,12,3.66
MSFT,2017,1,-3.12
MSFT,2017,2,-3.61
MSFT,2017,3,22.43
MSFT,2017,4,-15.70
MSFT,2017,5,20.59
MSFT,2017,6,2.32
MSFT,2017,7,-7.17
MSFT,2017,8,16.29
MSFT,2017,9,-11.22
MSFT,2017,10,15.32
MSFT,2017,11,2.53
MSFT,2017,12,-3.58
MSFT,2018,1,11.59
MSFT,2018,2,-8.23
MSFT,2018,3,12.38
MSFT,2018,4,0.34
MSFT,2018,5,9.00
MSFT,2018,6,-1.02
MSFT,2018,7,4.05
MSFT,2018,8,13.76
MSFT,2018,9,-14.69
MSFT,2018,10,17.78
MSFT,2018,11,-10.29
MSFT,2018,12,-11.97
MSFT,2019,1,10.25
MSFT,2019,2,-6.23
MSFT,2019,3,17.91
MSFT,2019,4,6.65
MSFT,2019,5,7.79
MSFT,2019,6,-5.03
MSFT,2019,7,15.09
MSFT,2019,8,-1.25
MSFT,2019,9,-7.93
MSFT,2019,10,15.93
MSFT,2019,11,-7.51
MSFT,2019,12,9.31
MSFT,2020,1,6.37
MSFT,2020,2,-1.40
MSFT,2020,3,-1.16
MSFT,2020,4,5.77
MSFT,2020,5,2.73
MSFT,2020,6,16.25
MSFT,2020,7,7.46
MSFT,2020,8,-1.19
MSFT,2020,9,-2.59
MSFT,2020,10,6.81
MSFT,2020,11,-8.56
MSFT,2020,12,11.96
MSFT,2021,1,-12.05
MSFT,2021,2,8.15
MSFT,2021,3,17.83
MSFT,2021,4,-0.14
MSFT,2021,5,-7.81
MSFT,2021,6,15.17
MSFT,2021,7,3.74
MSFT,2021,8,9.53
MSFT,2021,9,-3.72
MSFT,2021,10,2.25
MSFT,2021,11,10.65
MSFT,2021,12,3.81
MSFT,2022,1,-15.66
MSFT,2022,2,-8.08
MSFT,2022,3,19.85
MSFT,2022,4,-15.08
MSFT,2022,5,-3.03
MSFT,2022,6,-2.71
MSFT,2022,7,-3.77
MSFT,2022,8,23.05
MSFT,2022,9,-19.39
MSFT,2022,10,-4.31
MSFT,2022,11,0.10
MSFT,2022,12,3.53
MSFT,2023,1,-8.00
MSFT,2023,2,3.97
MSFT,2023,3,24.34
MSFT,2023,4,-10.61
MSFT,2023,5,26.17
MSFT,2023,6,1.57
MSFT,2023,7,-51.77
NFLX,2013,7,NULL
NFLX,2013,8,131.51
NFLX,2013,9,4.42
NFLX,2013,10,21.92
NFLX,2013,11,-7.38
NFLX,2013,12,12.78
NFLX,2014,1,-2.43
NFLX,2014,2,8.69
NFLX,2014,3,6.28
NFLX,2014,4,-17.90
NFLX,2014,5,6.40
NFLX,2014,6,19.56
NFLX,2014,7,6.97
NFLX,2014,8,-1.35
NFLX,2014,9,1.22
NFLX,2014,10,-2.39
NFLX,2014,11,-25.21
NFLX,2014,12,5.30
NFLX,2015,1,0.08
NFLX,2015,2,17.63
NFLX,2015,3,9.47
NFLX,2015,4,10.32
NFLX,2015,5,12.29
NFLX,2015,6,20.33
NFLX,2015,7,11.84
NFLX,2015,8,7.60
NFLX,2015,9,-14.41
NFLX,2015,10,9.99
NFLX,2015,11,-0.07
NFLX,2015,12,14.95
NFLX,2016,1,-24.92
NFLX,2016,2,-10.19
NFLX,2016,3,21.43
NFLX,2016,4,-3.11
NFLX,2016,5,-7.58
NFLX,2016,6,6.03
NFLX,2016,7,-10.19
NFLX,2016,8,18.04
NFLX,2016,9,-6.95
NFLX,2016,10,16.12
NFLX,2016,11,4.62
NFLX,2016,12,4.75
NFLX,2017,1,3.59
NFLX,2017,2,0.37
NFLX,2017,3,21.67
NFLX,2017,4,-16.10
NFLX,2017,5,26.09
NFLX,2017,6,-1.19
NFLX,2017,7,-1.58
NFLX,2017,8,17.00
NFLX,2017,9,-8.36
NFLX,2017,10,17.64
NFLX,2017,11,-4.08
NFLX,2017,12,-8.36
NFLX,2018,1,30.18
NFLX,2018,2,5.45
NFLX,2018,3,27.13
NFLX,2018,4,-1.53
NFLX,2018,5,12.96
NFLX,2018,6,10.60
NFLX,2018,7,-0.68
NFLX,2018,8,-0.60
NFLX,2018,9,-13.48
NFLX,2018,10,11.97
NFLX,2018,11,-20.97
NFLX,2018,12,-17.33
NFLX,2019,1,35.74
NFLX,2019,2,-1.25
NFLX,2019,3,11.72
NFLX,2019,4,1.87
NFLX,2019,5,2.84
NFLX,2019,6,-9.80
NFLX,2019,7,8.20
NFLX,2019,8,-13.58
NFLX,2019,9,-15.44
NFLX,2019,10,13.24
NFLX,2019,11,-6.31
NFLX,2019,12,10.43
NFLX,2020,1,7.70
NFLX,2020,2,-0.14
NFLX,2020,3,8.54
NFLX,2020,4,10.08
NFLX,2020,5,2.07
NFLX,2020,6,11.44
NFLX,2020,7,13.76
NFLX,2020,8,-4.80
NFLX,2020,9,-0.51
NFLX,2020,10,8.90
NFLX,2020,11,-13.98
NFLX,2020,12,16.57
NFLX,2021,1,-11.92
NFLX,2021,2,4.20
NFLX,2021,3,14.25
NFLX,2021,4,-6.05
NFLX,2021,5,-11.27
NFLX,2021,6,11.46
NFLX,2021,7,0.26
NFLX,2021,8,5.49
NFLX,2021,9,5.93
NFLX,2021,10,8.70
NFLX,2021,11,3.94
NFLX,2021,12,-4.50
NFLX,2022,1,-27.11
NFLX,2022,2,-21.92
NFLX,2022,3,10.73
NFLX,2022,4,-29.49
NFLX,2022,5,-34.18
NFLX,2022,6,-0.86
NFLX,2022,7,2.58
NFLX,2022,8,34.60
NFLX,2022,9,-9.05
NFLX,2022,10,10.41
NFLX,2022,11,10.50
NFLX,2022,12,6.66
NFLX,2023,1,5.55
NFLX,2023,2,-0.93
NFLX,2023,3,8.40
NFLX,2023,4,-11.80
NFLX,2023,5,20.55
NFLX,2023,6,15.78
NFLX,2023,7,-49.92
QCOM,2013,7,NULL
QCOM,2013,8,132.23
QCOM,2013,9,-6.32
QCOM,2013,10,13.98
QCOM,2013,11,-9.39
QCOM,2013,12,8.63
QCOM,2014,1,0.78
QCOM,2014,2,-8.07
QCOM,2014,3,13.80
QCOM,2014,4,2.76
QCOM,2014,5,0.59
QCOM,2014,6,-0.46
QCOM,2014,7,4.06
QCOM,2014,8,-9.32
QCOM,2014,9,0.82
QCOM,2014,10,7.63
QCOM,2014,11,-19.91
QCOM,2014,12,17.70
QCOM,2015,1,-10.84
QCOM,2015,2,-7.66
QCOM,2015,3,16.14
QCOM,2015,4,-6.61
QCOM,2015,5,-3.27
QCOM,2015,6,5.78
QCOM,2015,7,-5.34
QCOM,2015,8,-8.82
QCOM,2015,9,-10.10
QCOM,2015,10,12.38
QCOM,2015,11,-18.48
QCOM,2015,12,3.94
QCOM,2016,1,-17.92
QCOM,2016,2,5.69
QCOM,2016,3,20.84
QCOM,2016,4,-5.17
QCOM,2016,5,2.62
QCOM,2016,6,6.84
QCOM,2016,7,-4.18
QCOM,2016,8,26.11
QCOM,2016,9,-7.29
QCOM,2016,10,6.34
QCOM,2016,11,0.21
QCOM,2016,12,-0.40
QCOM,2017,1,-12.57
QCOM,2017,2,-15.00
QCOM,2017,3,26.13
QCOM,2017,4,-21.98
QCOM,2017,5,19.90
QCOM,2017,6,1.68
QCOM,2017,7,-12.67
QCOM,2017,8,10.28
QCOM,2017,9,-15.03
QCOM,2017,10,13.33
QCOM,2017,11,16.98
QCOM,2017,12,-4.95
QCOM,2018,1,8.70
QCOM,2018,2,-12.61
QCOM,2018,3,1.65
QCOM,2018,4,-10.56
QCOM,2018,5,9.51
QCOM,2018,6,0.45
QCOM,2018,7,0.89
QCOM,2018,8,22.92
QCOM,2018,9,-9.52
QCOM,2018,10,11.19
QCOM,2018,11,-21.10
QCOM,2018,12,-10.78
QCOM,2019,1,5.48
QCOM,2019,2,-13.80
QCOM,2019,3,19.30
QCOM,2019,4,24.71
QCOM,2019,5,18.66
QCOM,2019,6,-18.16
QCOM,2019,7,16.97
QCOM,2019,8,-3.44
QCOM,2019,9,-2.99
QCOM,2019,10,14.97
